,model,persona,variant,pid,vda,vda_normalized
0,gpt-3.5-turbo-0125,baseline,cot,0.0,0.6900000000000001,
1,gpt-3.5-turbo-0125,baseline,cot,1.0,0.74,
2,gpt-3.5-turbo-0125,baseline,cot,2.0,0.76,
3,gpt-3.5-turbo-0125,baseline,cot,3.0,0.79,
4,gpt-3.5-turbo-0125,baseline,cot,4.0,0.75,
5,gpt-3.5-turbo-0125,baseline,cot,5.0,0.78,
6,gpt-3.5-turbo-0125,baseline,cot,6.0,0.78,
7,gpt-3.5-turbo-0125,baseline,cot,7.0,0.8099999999999999,
8,gpt-3.5-turbo-0125,baseline,cot,8.0,0.78,
9,gpt-3.5-turbo-0125,baseline,cot,9.0,0.76,
10,gpt-3.5-turbo-0125,baseline,cot,10.0,0.79,
11,gpt-3.5-turbo-0125,baseline,cot,11.0,0.75,
12,gpt-3.5-turbo-0125,baseline,cot,12.0,0.76,
13,gpt-3.5-turbo-0125,baseline,cot,13.0,0.8,
14,gpt-3.5-turbo-0125,baseline,cot,14.0,0.7,
15,gpt-3.5-turbo-0125,baseline,cot,15.0,0.8,
16,gpt-3.5-turbo-0125,baseline,cot,16.0,0.77,
17,gpt-3.5-turbo-0125,baseline,cot,17.0,0.79,
18,gpt-3.5-turbo-0125,baseline,cot,18.0,0.77,
19,gpt-3.5-turbo-0125,baseline,cot,19.0,0.75,
20,gpt-3.5-turbo-0125,baseline,cot,20.0,0.76,
21,gpt-3.5-turbo-0125,baseline,cot,21.0,0.82,
22,gpt-3.5-turbo-0125,baseline,cot,22.0,0.76,
23,gpt-3.5-turbo-0125,baseline,cot,23.0,0.76,
24,gpt-3.5-turbo-0125,baseline,cot,24.0,0.79,
25,gpt-3.5-turbo-0125,baseline,cot,25.0,0.77,
26,gpt-3.5-turbo-0125,baseline,cot,26.0,0.8,
27,gpt-3.5-turbo-0125,baseline,cot,27.0,0.8,
28,gpt-3.5-turbo-0125,baseline,cot,28.0,0.7,
29,gpt-3.5-turbo-0125,baseline,cot,29.0,0.82,
30,gpt-3.5-turbo-0125,baseline,cot,30.0,0.8,
31,gpt-3.5-turbo-0125,baseline,cot,31.0,0.75,
32,gpt-3.5-turbo-0125,baseline,cot,32.0,0.78,
33,gpt-3.5-turbo-0125,baseline,cot,33.0,0.8099999999999999,
34,gpt-3.5-turbo-0125,baseline,cot,34.0,0.79,
35,gpt-3.5-turbo-0125,baseline,cot,35.0,0.77,
36,gpt-3.5-turbo-0125,baseline,cot,36.0,0.75,
37,gpt-3.5-turbo-0125,baseline,cot,37.0,0.82,
38,gpt-3.5-turbo-0125,baseline,cot,38.0,0.8099999999999999,
39,gpt-3.5-turbo-0125,baseline,cot,39.0,0.8,
40,gpt-3.5-turbo-0125,baseline,cot,40.0,0.8300000000000001,
41,gpt-3.5-turbo-0125,baseline,cot,41.0,0.79,
42,gpt-3.5-turbo-0125,baseline,cot,42.0,0.78,
43,gpt-3.5-turbo-0125,baseline,cot,43.0,0.76,
44,gpt-3.5-turbo-0125,baseline,cot,44.0,0.79,
45,gpt-3.5-turbo-0125,baseline,cot,45.0,0.8099999999999999,
46,gpt-3.5-turbo-0125,baseline,cot,46.0,0.74,
47,gpt-3.5-turbo-0125,baseline,cot,47.0,0.73,
48,gpt-3.5-turbo-0125,baseline,cot,48.0,0.8300000000000001,
49,gpt-3.5-turbo-0125,baseline,cot,49.0,0.79,
50,gpt-3.5-turbo-0125,baseline,cot,50.0,0.76,
51,gpt-3.5-turbo-0125,baseline,cot,51.0,0.71,
52,gpt-3.5-turbo-0125,baseline,cot,52.0,0.79,
53,gpt-3.5-turbo-0125,baseline,cot,53.0,0.75,
54,gpt-3.5-turbo-0125,baseline,cot,54.0,0.76,
55,gpt-3.5-turbo-0125,baseline,cot,55.0,0.78,
56,gpt-3.5-turbo-0125,baseline,cot,56.0,0.73,
57,gpt-3.5-turbo-0125,baseline,cot,57.0,0.77,
58,gpt-3.5-turbo-0125,baseline,cot,58.0,0.73,
59,gpt-3.5-turbo-0125,baseline,cot,59.0,0.77,
60,gpt-3.5-turbo-0125,baseline,cot,60.0,0.77,
61,gpt-3.5-turbo-0125,baseline,cot,61.0,0.72,
62,gpt-3.5-turbo-0125,baseline,cot,62.0,0.8099999999999999,
63,gpt-3.5-turbo-0125,baseline,cot,63.0,0.8,
64,gpt-3.5-turbo-0125,baseline,cot,64.0,0.73,
65,gpt-3.5-turbo-0125,baseline,cot,65.0,0.82,
66,gpt-3.5-turbo-0125,baseline,cot,66.0,0.76,
67,gpt-3.5-turbo-0125,baseline,cot,67.0,0.76,
68,gpt-3.5-turbo-0125,baseline,cot,68.0,0.6799999999999999,
69,gpt-3.5-turbo-0125,baseline,cot,69.0,0.76,
70,gpt-3.5-turbo-0125,baseline,cot,70.0,0.79,
71,gpt-3.5-turbo-0125,baseline,cot,71.0,0.79,
72,gpt-3.5-turbo-0125,baseline,cot,72.0,0.82,
73,gpt-3.5-turbo-0125,baseline,cot,73.0,0.82,
74,gpt-3.5-turbo-0125,baseline,cot,74.0,0.77,
75,gpt-3.5-turbo-0125,baseline,cot,75.0,0.74,
76,gpt-3.5-turbo-0125,baseline,cot,76.0,0.8099999999999999,
77,gpt-3.5-turbo-0125,baseline,cot,77.0,0.8,
78,gpt-3.5-turbo-0125,baseline,cot,78.0,0.78,
79,gpt-3.5-turbo-0125,baseline,cot,79.0,0.78,
80,gpt-3.5-turbo-0125,baseline,cot,80.0,0.82,
81,gpt-3.5-turbo-0125,baseline,cot,81.0,0.77,
82,gpt-3.5-turbo-0125,baseline,cot,82.0,0.77,
83,gpt-3.5-turbo-0125,baseline,cot,83.0,0.8,
84,gpt-3.5-turbo-0125,baseline,cot,84.0,0.8099999999999999,
85,gpt-3.5-turbo-0125,baseline,cot,85.0,0.8400000000000001,
86,gpt-3.5-turbo-0125,baseline,cot,86.0,0.76,
87,gpt-3.5-turbo-0125,baseline,cot,87.0,0.76,
88,gpt-3.5-turbo-0125,baseline,cot,88.0,0.77,
89,gpt-3.5-turbo-0125,baseline,cot,89.0,0.8300000000000001,
90,gpt-3.5-turbo-0125,baseline,cot,90.0,0.79,
91,gpt-3.5-turbo-0125,baseline,cot,91.0,0.74,
92,gpt-3.5-turbo-0125,baseline,cot,92.0,0.79,
93,gpt-3.5-turbo-0125,baseline,cot,93.0,0.74,
94,gpt-3.5-turbo-0125,baseline,cot,94.0,0.79,
95,gpt-3.5-turbo-0125,baseline,cot,95.0,0.76,
96,gpt-3.5-turbo-0125,baseline,cot,96.0,0.79,
97,gpt-3.5-turbo-0125,baseline,cot,97.0,0.75,
98,gpt-3.5-turbo-0125,baseline,cot,98.0,0.79,
99,gpt-3.5-turbo-0125,baseline,cot,99.0,0.73,
100,gpt-4-0613,baseline,cot,0.0,0.9636363636363636,
101,gpt-4-0613,baseline,cot,1.0,0.9272727272727272,
102,gpt-4-0613,baseline,cot,2.0,0.9777777777777779,
103,gpt-4-0613,baseline,cot,3.0,1.0,
104,gpt-4-0613,baseline,cot,4.0,0.9800000000000001,
105,gpt-4-0613,baseline,cot,5.0,0.9800000000000001,
106,gpt-4-0613,baseline,cot,6.0,0.9090909090909091,
107,gpt-4-0613,baseline,cot,7.0,0.911111111111111,
108,gpt-4-0613,baseline,cot,8.0,0.9800000000000001,
109,gpt-4-0613,baseline,cot,9.0,0.9230769230769231,
110,gpt-4-0613,baseline,cot,10.0,0.9777777777777779,
111,gpt-4-0613,baseline,cot,11.0,0.9199999999999999,
112,gpt-4-0613,baseline,cot,12.0,0.9777777777777779,
113,gpt-4-0613,baseline,cot,13.0,0.911111111111111,
114,gpt-4-0613,baseline,cot,14.0,0.9454545454545454,
115,gpt-4-0613,baseline,cot,15.0,0.9800000000000001,
116,gpt-4-0613,baseline,cot,16.0,0.9400000000000001,
117,gpt-4-0613,baseline,cot,17.0,0.8800000000000001,
118,gpt-4-0613,baseline,cot,18.0,0.9400000000000001,
119,gpt-4-0613,baseline,cot,19.0,0.9,
120,gpt-4-0613,baseline,cot,20.0,0.9777777777777779,
121,gpt-4-0613,baseline,cot,21.0,0.9636363636363636,
122,gpt-4-0613,baseline,cot,22.0,0.9400000000000001,
123,gpt-4-0613,baseline,cot,23.0,0.975,
124,gpt-4-0613,baseline,cot,24.0,0.96,
125,gpt-4-0613,baseline,cot,25.0,0.96,
126,gpt-4-0613,baseline,cot,26.0,0.9333333333333333,
127,gpt-4-0613,baseline,cot,27.0,0.9636363636363636,
128,gpt-4-0613,baseline,cot,28.0,0.9777777777777779,
129,gpt-4-0613,baseline,cot,29.0,0.9199999999999999,
130,gpt-4-0613,baseline,cot,30.0,0.9636363636363636,
131,gpt-4-0613,baseline,cot,31.0,0.9777777777777779,
132,gpt-4-0613,baseline,cot,32.0,0.911111111111111,
133,gpt-4-0613,baseline,cot,33.0,0.9777777777777779,
134,gpt-4-0613,baseline,cot,34.0,0.9777777777777779,
135,gpt-4-0613,baseline,cot,35.0,0.9636363636363636,
136,gpt-4-0613,baseline,cot,36.0,0.9800000000000001,
137,gpt-4-0613,baseline,cot,37.0,0.9800000000000001,
138,gpt-4-0613,baseline,cot,38.0,0.95,
139,gpt-4-0613,baseline,cot,39.0,0.9454545454545454,
140,gpt-4-0613,baseline,cot,40.0,0.96,
141,gpt-4-0613,baseline,cot,41.0,0.9,
142,gpt-4-0613,baseline,cot,42.0,0.9333333333333333,
143,gpt-4-0613,baseline,cot,43.0,0.9454545454545454,
144,gpt-4-0613,baseline,cot,44.0,0.9777777777777779,
145,gpt-4-0613,baseline,cot,45.0,0.9333333333333333,
146,gpt-4-0613,baseline,cot,46.0,0.9777777777777779,
