,model,persona,variant,pid,vda,vda_normalized
0,gpt-3.5-turbo-0125,baseline,accuracy,0.0,0.6,
1,gpt-3.5-turbo-0125,baseline,accuracy,1.0,0.67,
2,gpt-3.5-turbo-0125,baseline,accuracy,2.0,0.67,
3,gpt-3.5-turbo-0125,baseline,accuracy,3.0,0.7,
4,gpt-3.5-turbo-0125,baseline,accuracy,4.0,0.73,
5,gpt-3.5-turbo-0125,baseline,accuracy,5.0,0.6900000000000001,
6,gpt-3.5-turbo-0125,baseline,accuracy,6.0,0.7,
7,gpt-3.5-turbo-0125,baseline,accuracy,7.0,0.7,
8,gpt-3.5-turbo-0125,baseline,accuracy,8.0,0.6599999999999999,
9,gpt-3.5-turbo-0125,baseline,accuracy,9.0,0.67,
10,gpt-3.5-turbo-0125,baseline,accuracy,10.0,0.7,
11,gpt-3.5-turbo-0125,baseline,accuracy,11.0,0.67,
12,gpt-3.5-turbo-0125,baseline,accuracy,12.0,0.6799999999999999,
13,gpt-3.5-turbo-0125,baseline,accuracy,13.0,0.7,
14,gpt-3.5-turbo-0125,baseline,accuracy,14.0,0.7100000000000001,
15,gpt-3.5-turbo-0125,baseline,accuracy,15.0,0.67,
16,gpt-3.5-turbo-0125,baseline,accuracy,16.0,0.72,
17,gpt-3.5-turbo-0125,baseline,accuracy,17.0,0.72,
18,gpt-3.5-turbo-0125,baseline,accuracy,18.0,0.6799999999999999,
19,gpt-3.5-turbo-0125,baseline,accuracy,19.0,0.6900000000000001,
20,gpt-3.5-turbo-0125,baseline,accuracy,20.0,0.6799999999999999,
21,gpt-3.5-turbo-0125,baseline,accuracy,21.0,0.7,
22,gpt-3.5-turbo-0125,baseline,accuracy,22.0,0.72,
23,gpt-3.5-turbo-0125,baseline,accuracy,23.0,0.6799999999999999,
24,gpt-3.5-turbo-0125,baseline,accuracy,24.0,0.72,
25,gpt-3.5-turbo-0125,baseline,accuracy,25.0,0.6599999999999999,
26,gpt-3.5-turbo-0125,baseline,accuracy,26.0,0.7,
27,gpt-3.5-turbo-0125,baseline,accuracy,27.0,0.6900000000000001,
28,gpt-3.5-turbo-0125,baseline,accuracy,28.0,0.67,
29,gpt-3.5-turbo-0125,baseline,accuracy,29.0,0.6799999999999999,
30,gpt-3.5-turbo-0125,baseline,accuracy,30.0,0.6599999999999999,
31,gpt-3.5-turbo-0125,baseline,accuracy,31.0,0.6799999999999999,
32,gpt-3.5-turbo-0125,baseline,accuracy,32.0,0.72,
33,gpt-3.5-turbo-0125,baseline,accuracy,33.0,0.6799999999999999,
34,gpt-3.5-turbo-0125,baseline,accuracy,34.0,0.65,
35,gpt-3.5-turbo-0125,baseline,accuracy,35.0,0.65,
36,gpt-3.5-turbo-0125,baseline,accuracy,36.0,0.7,
37,gpt-3.5-turbo-0125,baseline,accuracy,37.0,0.6599999999999999,
38,gpt-3.5-turbo-0125,baseline,accuracy,38.0,0.6900000000000001,
39,gpt-3.5-turbo-0125,baseline,accuracy,39.0,0.6799999999999999,
40,gpt-3.5-turbo-0125,baseline,accuracy,40.0,0.67,
41,gpt-3.5-turbo-0125,baseline,accuracy,41.0,0.6900000000000001,
42,gpt-3.5-turbo-0125,baseline,accuracy,42.0,0.71,
43,gpt-3.5-turbo-0125,baseline,accuracy,43.0,0.6599999999999999,
44,gpt-3.5-turbo-0125,baseline,accuracy,44.0,0.6799999999999999,
45,gpt-3.5-turbo-0125,baseline,accuracy,45.0,0.6799999999999999,
46,gpt-3.5-turbo-0125,baseline,accuracy,46.0,0.6599999999999999,
